datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/7/2015 1:00:00 PM,1/7/2015 8:00:00 AM,1/7/2015 2:00:00 PM,1/7/2015 9:00:00 AM,DUQ,2032
1/7/2015 2:00:00 PM,1/7/2015 9:00:00 AM,1/7/2015 3:00:00 PM,1/7/2015 10:00:00 AM,DUQ,2069
1/7/2015 3:00:00 PM,1/7/2015 10:00:00 AM,1/7/2015 4:00:00 PM,1/7/2015 11:00:00 AM,DUQ,2071
1/7/2015 4:00:00 PM,1/7/2015 11:00:00 AM,1/7/2015 5:00:00 PM,1/7/2015 12:00:00 PM,DUQ,2079
1/7/2015 5:00:00 PM,1/7/2015 12:00:00 PM,1/7/2015 6:00:00 PM,1/7/2015 1:00:00 PM,DUQ,2022
1/7/2015 6:00:00 PM,1/7/2015 1:00:00 PM,1/7/2015 7:00:00 PM,1/7/2015 2:00:00 PM,DUQ,2058
1/7/2015 7:00:00 PM,1/7/2015 2:00:00 PM,1/7/2015 8:00:00 PM,1/7/2015 3:00:00 PM,DUQ,2037
1/7/2015 8:00:00 PM,1/7/2015 3:00:00 PM,1/7/2015 9:00:00 PM,1/7/2015 4:00:00 PM,DUQ,2054
1/7/2015 9:00:00 PM,1/7/2015 4:00:00 PM,1/7/2015 10:00:00 PM,1/7/2015 5:00:00 PM,DUQ,2079
1/7/2015 10:00:00 PM,1/7/2015 5:00:00 PM,1/7/2015 11:00:00 PM,1/7/2015 6:00:00 PM,DUQ,2169
1/7/2015 11:00:00 PM,1/7/2015 6:00:00 PM,1/8/2015 12:00:00 AM,1/7/2015 7:00:00 PM,DUQ,2243
1/8/2015 12:00:00 AM,1/7/2015 7:00:00 PM,1/8/2015 1:00:00 AM,1/7/2015 8:00:00 PM,DUQ,2236
1/8/2015 1:00:00 AM,1/7/2015 8:00:00 PM,1/8/2015 2:00:00 AM,1/7/2015 9:00:00 PM,DUQ,2209
1/8/2015 2:00:00 AM,1/7/2015 9:00:00 PM,1/8/2015 3:00:00 AM,1/7/2015 10:00:00 PM,DUQ,2125
1/8/2015 3:00:00 AM,1/7/2015 10:00:00 PM,1/8/2015 4:00:00 AM,1/7/2015 11:00:00 PM,DUQ,2029
1/8/2015 4:00:00 AM,1/7/2015 11:00:00 PM,1/8/2015 5:00:00 AM,1/8/2015 12:00:00 AM,DUQ,1932
1/8/2015 5:00:00 AM,1/8/2015 12:00:00 AM,1/8/2015 6:00:00 AM,1/8/2015 1:00:00 AM,DUQ,1894
1/8/2015 6:00:00 AM,1/8/2015 1:00:00 AM,1/8/2015 7:00:00 AM,1/8/2015 2:00:00 AM,DUQ,1809
1/8/2015 7:00:00 AM,1/8/2015 2:00:00 AM,1/8/2015 8:00:00 AM,1/8/2015 3:00:00 AM,DUQ,1810
1/8/2015 8:00:00 AM,1/8/2015 3:00:00 AM,1/8/2015 9:00:00 AM,1/8/2015 4:00:00 AM,DUQ,1826
